district,asset_type,size_sqm,buyer_type,area_type,profile,base_sale_aed_sqm,gross_yield_pct,infrastructure_score,established_year,transaction_year,transaction_month,transaction_quarter,price,price_per_sqm_observed,transaction_type_clean,area,source,is_api_data,district_mapping_confidence,district_unmapped,listing_id,built_up_area_sqm,transaction_type,property_type,bedrooms,bathrooms,building_id,listed_at,latitude,longitude,synthetic_true_district,synthetic_fair_price_per_sqm,synthetic_quality_case,synthetic_price_multiplier,price_looks_like_sale,missing_area,missing_bathrooms,missing_building_id,is_synthetic_external_data,predicted_price_per_sqm,price_gap_pct,synthetic_opportunity_score,synthetic_recommendation,deal_signal,reason,warnings,predicted_estimated_value_aed_status,predicted_development_potential_score_status
Al Raha Beach,townhouse,357.0,fund,waterfront,high,14500.0,7.0,87.0,2011.0,2025,6,2,1010000.0,2829.1316526610644,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-048732,357.0,rent,townhouse,3,3.0,BLD-7329,2025-06-24,24.45866,54.60347,Al Raha Beach,18204,price_outlier_high,2.2199,True,False,False,False,True,17612.40522267735,522.5374915342389,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 522.5%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,76.0,corporate,waterfront,high,14500.0,7.0,87.0,2011.0,2025,11,4,623000.0,8197.368421052632,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-015744,76.0,sale,studio,0,1.0,BLD-3514,2025-11-24,24.46849,54.59424,Al Raha Beach,17483,price_outlier_low,0.4691,False,False,False,False,True,17838.215007908206,117.60904343515628,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 117.6%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,townhouse,348.0,individual,waterfront,high,14500.0,7.0,87.0,2011.0,2024,2,1,2769000.0,7956.896551724138,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-014401,348.0,sale,townhouse,4,4.0,BLD-0251,2024-02-27,24.44942,54.6124,Al Raha Beach,16774,price_outlier_low,0.4743,True,False,False,False,True,16073.017900567873,102.00109170811196,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 102.0%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,151.0,corporate,waterfront,high,14500.0,7.0,87.0,2011.0,2023,2,1,1106000.0,7324.503311258278,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-012052,151.0,sale,apartment,1,1.0,BLD-1057,2023-02-20,24.45878,54.60921,Al Raha Beach,14302,price_outlier_low,0.5122,True,False,False,False,True,14749.402641608718,101.37068705993822,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 101.4%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,townhouse,340.0,corporate,waterfront,high,14500.0,7.0,87.0,2011.0,2023,8,3,2969000.0,8732.35294117647,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-033647,340.0,sale,townhouse,4,4.0,BLD-3808,2023-08-11,24.47266,54.61739,Al Raha Beach,15654,price_outlier_low,0.5578,True,False,False,False,True,15735.380011365298,80.19633559663865,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 80.2%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,69.0,fund,waterfront,high,14500.0,7.0,87.0,2011.0,2025,10,4,686000.0,9942.028985507246,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-020445,69.0,sale,studio,0,1.0,BLD-6607,2025-10-17,24.45021,54.59867,Al Raha Beach,17251,price_outlier_low,0.5763,False,False,False,False,True,17776.90604465566,78.80561473487472,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 78.8%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,217.0,corporate,waterfront,high,14500.0,7.0,87.0,2011.0,2023,12,4,1969000.0,9073.732718894009,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-001620,217.0,sale,apartment,3,2.0,BLD-8495,2023-12-08,24.46241,54.59442,Al Raha Beach,15894,price_outlier_low,0.5708,True,False,False,False,True,15788.596509879277,74.0033236487457,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 74.0%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,159.0,developer,waterfront,high,14500.0,7.0,87.0,2011.0,2024,9,3,1557000.0,9792.452830188678,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-024662,159.0,sale,apartment,4,4.0,BLD-8334,2024-09-06,24.4432,54.62593,Al Raha Beach,16126,price_outlier_low,0.6072,True,False,False,False,True,16875.197633774605,72.32860782081968,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 72.3%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,122.0,individual,waterfront,high,14500.0,7.0,87.0,2011.0,2024,4,2,1123000.0,9204.918032786885,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-034241,122.0,sale,apartment,2,2.0,BLD-0354,2024-04-02,24.4737,54.62926,Al Raha Beach,16177,price_outlier_low,0.5689,True,False,False,False,True,15841.039299599528,72.0932141185345,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 72.1%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
Al Raha Beach,apartment,222.0,developer,waterfront,high,14500.0,7.0,87.0,2011.0,2023,11,4,2095000.0,9436.936936936936,sale,Al Raha Beach,synthetic_external_listings,False,1.0,False,SYN-LST-019202,222.0,sale,apartment,1,1.0,BLD-5271,2023-11-21,24.47107,54.59184,Al Raha Beach,15283,price_outlier_low,0.6176,True,False,False,False,True,16162.871804999279,71.27243631073222,99.28,BUY_CANDIDATE,UNDERVALUED,"UNDERVALUED: price gap 71.3%, yield 7.0%, infrastructure 87.0, profile high.",[],skipped_incompatible_listing_rows,skipped_incompatible_listing_rows
